filepath,size_MB,resolution,num_frames,class,label_content,type,split
train/barbell biceps curl/barbell biceps curl_10.mp4,0.39,1920x1080,94,barbell biceps curl,frame_000000 frame_000093,video,train
train/barbell biceps curl/barbell biceps curl_11.mp4,0.31,1920x1080,75,barbell biceps curl,frame_000000 frame_000074,video,train
train/barbell biceps curl/barbell biceps curl_14.mp4,0.28,1920x1080,69,barbell biceps curl,frame_000000 frame_000068,video,train
train/barbell biceps curl/barbell biceps curl_15.mp4,0.27,1920x1080,65,barbell biceps curl,frame_000000 frame_000064,video,train
train/barbell biceps curl/barbell biceps curl_16.mp4,0.26,1920x1080,63,barbell biceps curl,frame_000000 frame_000062,video,train
train/barbell biceps curl/barbell biceps curl_17.mp4,0.25,1920x1080,61,barbell biceps curl,frame_000000 frame_0000600,video,train
train/barbell biceps curl/barbell biceps curl_18.mp4,0.28,1920x1080,67,barbell biceps curl,frame_000000 frame_000066,video,train
train/barbell biceps curl/barbell biceps curl_20.mp4,0.23,1920x1080,56,barbell biceps curl,frame_000000 frame_000055,video,train
train/barbell biceps curl/barbell biceps curl_23.mp4,0.29,1920x1080,70,barbell biceps curl,frame_000000 frame_000069,video,train
train/barbell biceps curl/barbell biceps curl_24.mp4,0.34,1920x1080,84,barbell biceps curl,frame_000000 frame_000083,video,train
train/barbell biceps curl/barbell biceps curl_26.mp4,0.33,1920x1080,80,barbell biceps curl,frame_000000 frame_000079,video,train
train/barbell biceps curl/barbell biceps curl_27.mp4,0.23,1920x1080,55,barbell biceps curl,frame_000000 frame_000054,video,train
train/barbell biceps curl/barbell biceps curl_28.mp4,0.25,1920x1080,61,barbell biceps curl,frame_000000 frame_000060,video,train
train/barbell biceps curl/barbell biceps curl_29.mp4,0.24,1920x1080,58,barbell biceps curl,frame_000000 frame_000057,video,train
train/barbell biceps curl/barbell biceps curl_3.mp4,0.3,1920x1080,73,barbell biceps curl,frame_000000 frame_000072,video,train
train/barbell biceps curl/barbell biceps curl_30.mp4,0.21,1920x1080,49,barbell biceps curl,frame_000000 frame_000048,video,train
train/barbell biceps curl/barbell biceps curl_31.mp4,0.27,1920x1080,65,barbell biceps curl,frame_000000 frame_000064,video,train
train/barbell biceps curl/barbell biceps curl_37.mp4,0.24,1920x1080,59,barbell biceps curl,frame_000000 frame_000058,video,train
train/barbell biceps curl/barbell biceps curl_39.mp4,0.22,1920x1080,54,barbell biceps curl,frame_000000 frame_000053,video,train
train/barbell biceps curl/barbell biceps curl_4.mp4,0.22,1920x1080,53,barbell biceps curl,frame_000000 frame_000052,video,train
train/barbell biceps curl/barbell biceps curl_42.mp4,1.85,1280x720,141,barbell biceps curl,frame_000000 frame_000140,video,train
train/barbell biceps curl/barbell biceps curl_44.mp4,3.73,1280x720,229,barbell biceps curl,frame_000000 frame_000228,video,train
