Class,Supp(Win/Vid),Trans_NoAug_Rec,Trans_Aug_Rec,Trans_Delta_Rec,Trans_NoAug_F1,Trans_Aug_F1,Trans_Delta_F1,Trans_Vid_NoAug_Rec,Trans_Vid_Aug_Rec,Trans_Vid_Delta_Rec,Bone_NoAug_Rec,Bone_Aug_Rec,Bone_Delta_Rec
barbell biceps curl,69.0/14.0,81.15942028985508,71.01449275362319,-10.144927536231885,0.4014336917562724,0.4279475982532751,0.026513906497002693,100.0,85.71428571428571,-14.28571428571429,17.391304347826086,68.11594202898551,50.72463768115942
bench press,96.0/14.0,54.166666666666664,50.0,-4.1666666666666625,0.41935483870967744,0.4897959183673469,0.07044107965766949,57.14285714285714,50.0,-7.14285714285714,28.125,53.125,25.0
chest fly machine,82.0/8.0,93.90243902439023,90.2439024390244,-3.658536585365846,0.8901734104046243,0.891566265060241,0.001392854655616671,100.0,75.0,-25.0,45.1219512195122,96.34146341463415,51.21951219512195
deadlift,67.0/10.0,65.67164179104478,53.73134328358209,-11.940298507462687,0.49162011173184356,0.42105263157894735,-0.07056748015289621,70.0,80.0,10.000000000000009,47.76119402985074,71.64179104477611,23.88059701492537
decline bench press,134.0/8.0,29.1044776119403,61.19402985074627,32.08955223880597,0.30115830115830117,0.5774647887323944,0.2763064875740932,25.0,62.5,37.5,26.119402985074625,58.95522388059702,32.835820895522396
hammer curl,161.0/14.0,22.981366459627328,31.67701863354037,8.695652173913043,0.2803030303030303,0.3923076923076923,0.11200466200466203,28.57142857142857,35.714285714285715,7.142857142857145,58.38509316770186,29.81366459627329,-28.57142857142857
hip thrust,236.0/9.0,62.28813559322034,63.13559322033898,0.8474576271186418,0.6933962264150944,0.6788154897494305,-0.01458073666566384,77.77777777777779,88.88888888888889,11.111111111111105,27.54237288135593,58.89830508474576,31.35593220338983
incline bench press,76.0/9.0,68.42105263157895,63.1578947368421,-5.263157894736848,0.7591240875912408,0.6956521739130435,-0.06347191367819738,66.66666666666666,33.33333333333333,-33.33333333333333,0.0,52.63157894736842,52.63157894736842
lat pulldown,100.0/13.0,86.0,95.0,8.999999999999996,0.7319148936170212,0.6834532374100719,-0.04846165620694931,92.3076923076923,100.0,7.692307692307687,51.0,94.0,42.99999999999999
lateral raise,155.0/15.0,86.45161290322581,87.09677419354838,0.6451612903225823,0.9054054054054054,0.9121621621621622,0.006756756756756799,100.0,80.0,-19.999999999999996,10.967741935483872,83.22580645161291,72.25806451612904
leg extension,125.0/13.0,74.4,83.2,8.799999999999997,0.8378378378378378,0.896551724137931,0.05871388630009322,84.61538461538461,84.61538461538461,0.0,50.4,100.0,49.6
leg raises,114.0/11.0,43.859649122807014,52.63157894736842,8.771929824561402,0.47619047619047616,0.6185567010309279,0.1423662248404517,72.72727272727273,63.63636363636363,-9.090909090909093,0.0,42.10526315789473,42.10526315789473
plank,56.0/2.0,44.642857142857146,57.14285714285714,12.499999999999995,0.5882352941176471,0.5333333333333333,-0.05490196078431375,50.0,50.0,0.0,0.0,44.642857142857146,44.642857142857146
pull Up,82.0/10.0,60.97560975609756,57.3170731707317,-3.658536585365857,0.5586592178770949,0.6666666666666666,0.10800744878957169,70.0,40.0,-29.999999999999993,41.46341463414634,64.63414634146342,23.170731707317078
push-up,87.0/12.0,95.40229885057471,95.40229885057471,0.0,0.772093023255814,0.7280701754385965,-0.044022847817217436,100.0,100.0,0.0,77.01149425287356,100.0,22.988505747126442
romanian deadlift,146.0/6.0,36.986301369863014,33.56164383561644,-3.424657534246572,0.4235294117647059,0.43946188340807174,0.015932471643365864,33.33333333333333,33.33333333333333,0.0,1.36986301369863,38.35616438356164,36.986301369863014
russian twist,137.0/6.0,82.48175182481752,86.86131386861314,4.379562043795627,0.7874564459930313,0.8592057761732852,0.07174933018025387,100.0,100.0,0.0,0.0,86.13138686131386,86.13138686131386
shoulder press,152.0/13.0,61.18421052631579,57.23684210526315,-3.9473684210526327,0.6326530612244898,0.6,-0.032653061224489854,76.92307692307693,53.84615384615385,-23.076923076923084,33.55263157894737,38.15789473684211,4.60526315789474
squat,238.0/15.0,57.14285714285714,80.67226890756302,23.529411764705888,0.6699507389162561,0.8402625820568927,0.17031184314063663,60.0,93.33333333333333,33.333333333333336,37.39495798319328,65.54621848739495,28.15126050420168
t bar row,117.0/10.0,47.863247863247864,60.68376068376068,12.820512820512814,0.5773195876288659,0.6255506607929515,0.04823107316408559,70.0,80.0,10.000000000000009,0.0,51.28205128205128,51.28205128205128
tricep Pushdown,93.0/12.0,59.13978494623656,74.19354838709677,15.053763440860212,0.5851063829787234,0.8023255813953488,0.2172191984166254,83.33333333333334,75.0,-8.333333333333337,27.956989247311824,74.19354838709677,46.23655913978495
tricep dips,220.0/9.0,94.54545454545455,93.18181818181817,-1.3636363636363669,0.9102844638949672,0.8760683760683761,-0.034216087826591135,88.88888888888889,88.88888888888889,0.0,6.363636363636363,89.0909090909091,82.72727272727273
